Qualifier,16,3482,Blue 1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,"robot is a but janky, seems broken doesn't move smoothly, struggles to move didn't do much"
Qualifier,17,973,Blue 1,2,0,0,0,0,1,0,0,3,1,0,4,0,3,0,0,0,0,0,62,A good robot. Knows what it is doing
Qualifier,18,2085,Blue 1,1,1,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,49,Overall nice robot and works well
Qualifier,19,4698,Blue 1,2,0,0,0,0,0,1,0,1,1,0,4,0,1,0,0,0,0,0,51,Struggled to place hatch panel on rocket because another team was blocking them
Qualifier,20,6474,Blue 1,1,1,0,0,0,0,0,3,1,0,2,2,1,2,0,0,0,0,0,0,Pretty goodo
Qualifier,21,3250,Blue 1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,40,Really good at hatches
Qualifier,22,5458,Blue 1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,They glitched a bit then fell over
Qualifier,23,973,Blue 1,1,0,0,0,0,0,0,3,2,0,0,2,0,3,0,0,0,0,0,103,"Souter continued past sandstorm, fast intake, same as ours, practiced drivers, were able to go back and forth quickly"
Qualifier,24,1056,Blue 1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,57,"Defense bot, strat is hit before places so as to shake their alignment and wss"
Qualifier,25,3257,Blue 1,2,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,66,Probably on springs + it swerved
Qualifier,26,3859,Blue 1,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,58,"Good cargo shooter, but they missed due to hlaforde"
Qualifier,27,4135,Blue 1,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,28,Could not take accurate data due to people standing 
